policy_id,application_receive_date,advisor_id,branch_name,sampling_frame_flag
9640524d-20da-4fc3-8af9-a5123d9ac315,2024-05-08,ADV062,Willow Way,1
2badc98a-1f9b-444c-98a8-93f44a057bdb,2024-03-28,ADV053,Pine Plaza,0
d1dc8584-42c5-42f5-a657-d8609abd765f,2024-04-19,ADV027,Cedar Centre,1
e591274e-fb22-42ee-807d-19a094d458fd,2024-04-10,ADV009,Birch Bureau,1
c50146d6-97d9-4a7e-b55b-88f86edf93fd,2024-02-26,ADV031,Pine Plaza,0
34c3ddc1-5a48-473e-8ede-3ef638ef451b,2024-01-23,ADV011,Birch Bureau,0
836af9c1-6593-431a-8a79-9f0e409a900b,2024-03-05,ADV067,Cedar Centre,1
ea0e51ba-cfbc-4f79-9de7-ce37bd68ce6a,2024-05-29,ADV023,Cedar Centre,1
3a54c109-3acc-48b3-b5d3-9690805f9207,2024-04-26,ADV029,Cedar Centre,1
caf0dd14-79aa-47d6-ae23-ef9f3f8b7db7,2024-04-03,ADV019,Pine Plaza,1
e6a9f732-70fc-4f2e-9af6-5ec5516f932c,2024-05-04,ADV006,Oak Office,1
12709123-3e81-4b6d-a4fe-624ec37057f9,2024-01-06,ADV034,Oak Office,0
5f3474cf-4557-4c6b-8bbf-b04c10ba2d83,2024-05-19,ADV059,Willow Way,1
d950bf70-9a91-4087-805c-42404e91572d,2024-02-25,ADV056,Oak Office,0
dc64b479-068c-4692-9a41-2c0b5d4ae490,2024-04-02,ADV075,Maple Branch,1
6b77f25a-a595-4cda-b70f-6bc98f3b4293,2024-05-14,ADV001,Pine Plaza,0
bca38119-af46-436c-85ae-d0d19f87a14e,2024-05-27,ADV047,Willow Way,0
b998b3c4-7ebe-4104-8936-94f9f2550eba,2024-01-10,ADV069,Cedar Centre,0
1e5410df-8729-4072-93f8-3d53aaedd033,2024-05-19,ADV065,Willow Way,0
4ea42c09-b1d4-40ad-b733-4b7dfaf6aea0,2024-05-14,ADV054,Maple Branch,1
099ce073-f1ea-432a-b55b-7be78e83936e,2024-01-28,ADV055,Willow Way,0
29d9f576-a103-41df-ba03-36b871734f98,2024-03-07,ADV051,Cedar Centre,0
7479ddad-2512-436e-8634-a77e9ee55916,2024-04-20,ADV007,Cedar Centre,1
49471ec3-7dc3-44cd-8680-ba51d82bf127,2024-01-10,ADV012,Oak Office,0
b7f6c8c9-672b-4736-a59c-9f3f9c8e613d,2024-05-18,ADV025,Oak Office,1
a8e2e6d0-0eaf-41ca-a57c-4bcef7c166bd,2024-02-17,ADV050,Willow Way,0
65c0bf17-038b-451b-b157-c7c1eadd44de,2024-03-21,ADV051,Cedar Centre,1
