policy_id,application_receive_date,advisor_id,branch_name,sampling_frame_flag
34c3ddc1-5a48-473e-8ede-3ef638ef451b,2024-01-23,ADV011,Birch Bureau,0
12709123-3e81-4b6d-a4fe-624ec37057f9,2024-01-06,ADV034,Oak Office,0
b998b3c4-7ebe-4104-8936-94f9f2550eba,2024-01-10,ADV069,Cedar Centre,0
099ce073-f1ea-432a-b55b-7be78e83936e,2024-01-28,ADV055,Willow Way,0
49471ec3-7dc3-44cd-8680-ba51d82bf127,2024-01-10,ADV012,Oak Office,0
70c2f6c4-ccea-40d5-ade0-9745d016b8b9,2024-01-18,ADV001,Cedar Centre,0
88b2eb6f-830f-4280-bbec-80c7fb961b50,2024-01-27,ADV067,Cedar Centre,0
72de9931-30fb-400b-8a7d-da9ec35bd5d9,2024-01-05,ADV065,Pine Plaza,0
86cf1271-5f0d-446b-a2af-90e984309626,2024-01-21,ADV025,Willow Way,0
d92f03f6-7478-4999-9322-14092479938c,2024-01-09,ADV010,Cedar Centre,0
daab76d5-73bd-4926-b16e-ef6d81790afd,2024-01-27,ADV036,Cedar Centre,0
0199a593-314f-4549-8ad3-6c98bcbf5314,2024-01-25,ADV050,Willow Way,0
5ffa8530-5664-4a24-a35e-5f2b6f592787,2024-01-20,ADV020,Oak Office,0
70266c3a-f9ac-47c9-9248-4d3102ba48b8,2024-01-09,ADV034,Birch Bureau,0
7c2fc3e8-c11f-4130-b82d-a2279cd6bbdc,2024-01-09,ADV007,Pine Plaza,0
dea3f847-5c7e-4f7c-98c1-ef7b165a8d4c,2024-01-23,ADV068,Cedar Centre,0
2b3363ca-0fa3-4e19-940d-8ca883f7c7dc,2024-01-04,ADV044,Maple Branch,0
d3fbaf6f-38fe-4783-8081-a614addd91b0,2024-01-17,ADV074,Pine Plaza,0
5f82e93d-9b26-44fa-bc28-825ee2fb7fd6,2024-01-30,ADV024,Cedar Centre,0
8fd83486-75df-4e63-ab95-4d72103dbb33,2024-01-14,ADV017,Maple Branch,0
61171bd2-d47e-40a3-8e6b-1c4685a9e068,2024-01-13,ADV059,Willow Way,0
ca0733fc-bae6-4a0d-ba74-c1bb4cb74607,2024-01-08,ADV061,Maple Branch,0
d0c6d4a8-16d7-4fd0-88e2-b5124e0a6ecd,2024-01-08,ADV068,Maple Branch,0
694b92ab-a6c1-4530-80c9-203a3fb08057,2024-01-04,ADV025,Cedar Centre,0
ae81cf47-824e-4b8e-b253-63c72f4a4b38,2024-01-05,ADV068,Oak Office,0
61a10d48-dc71-4de2-abe7-91a2002116ad,2024-01-15,ADV005,Willow Way,0
a8b8a13a-fcce-49ff-bb80-a96f8503ab39,2024-01-31,ADV035,Birch Bureau,0
187cd53d-158b-43d9-9be5-5773dedd3010,2024-01-25,ADV041,Willow Way,0
937ac874-8664-4d14-93a0-b0a4f66ded70,2024-01-05,ADV010,Cedar Centre,0
38129dad-c093-4400-bc01-bd1bd0bb3c3a,2024-01-09,ADV055,Birch Bureau,0
bd4a4135-727d-44c5-9881-b77bcb08aae3,2024-01-26,ADV027,Cedar Centre,0
b9687561-d14c-4c98-af66-e9ba4e0ccb3d,2024-01-18,ADV016,Birch Bureau,0
5820411c-301e-4354-865b-84d6606186a5,2024-01-05,ADV055,Birch Bureau,0
2b51691d-7316-45ff-b471-904e3140fe66,2024-01-14,ADV045,Cedar Centre,0
b510e534-1fee-4727-bb3d-69fb280ae1ea,2024-01-29,ADV060,Pine Plaza,0
37c0c23c-bae4-4426-9ccb-e70ca606229e,2024-01-13,ADV065,Oak Office,0
f8436fc1-3466-4cab-8ad6-aa1327a6c78c,2024-01-22,ADV029,Maple Branch,0
fb76f481-e783-46ae-9313-d0d5c710e7df,2024-01-27,ADV045,Maple Branch,0
c8d4fe8d-5855-49f1-ac95-88b1bba90221,2024-01-31,ADV041,Birch Bureau,0
c443c6c7-2b36-4f9b-969c-2283e544c408,2024-01-03,ADV020,Pine Plaza,0
d8aeed03-2352-4f5a-9d2c-9aca612c19ac,2024-01-17,ADV003,Birch Bureau,0
ea92d79e-3105-4181-8c7c-1b57654322d1,2024-01-17,ADV004,Maple Branch,0
6754f564-4a90-45c7-a89b-7e0fcabae393,2024-01-14,ADV074,Birch Bureau,0
0abc4ac1-7fdb-456e-851c-61d281575e0b,2024-01-25,ADV074,Cedar Centre,0
573adc51-6d08-4677-b32f-e72d2997f9a8,2024-01-03,ADV034,Maple Branch,0
32b79924-dd1a-44f2-81ff-764befe44696,2024-01-28,ADV051,Oak Office,0
14e38ecd-5531-4794-8eb6-a67e8f4af951,2024-01-07,ADV028,Oak Office,0
d60266c6-a094-4690-bf08-e4c3a904ec18,2024-01-08,ADV047,Willow Way,0
ab7ec086-17f5-4b84-901f-88edabfcf539,2024-01-06,ADV050,Birch Bureau,0
5f9841a3-fefd-41cc-bda9-633dafdf2d99,2024-01-15,ADV012,Cedar Centre,0
562d61d5-9978-489b-8333-6a83c1902d65,2024-01-07,ADV031,Birch Bureau,0
a92d27fa-fa41-4629-bd42-eb15bf872c71,2024-01-11,ADV044,Birch Bureau,0
abd9b0dd-379f-4754-a837-158482c4c4f7,2024-01-20,ADV020,Pine Plaza,0
363a3698-73b0-482b-84a9-a915f93d029d,2024-01-13,ADV072,Willow Way,0
20fe105d-076d-4b79-9a7e-6958b6d41108,2024-01-02,ADV061,Birch Bureau,0
eed06412-03bd-4237-af1b-9148bb16774b,2024-01-20,ADV014,Maple Branch,0
8ada3b14-5210-4351-ad3d-ba5905eb545f,2024-01-05,ADV019,Cedar Centre,0
e2faf74c-3109-461a-b17b-66c6cc7a8e78,2024-01-18,ADV002,Oak Office,0
b7653fe9-d681-4c9d-873e-953ac23d4b20,2024-01-01,ADV006,Birch Bureau,0
d1eee75c-d799-42e7-9908-d2dfb5a8fb6f,2024-01-12,ADV030,Oak Office,0
a5c2f364-2839-447b-9076-6fd0ec21ff6c,2024-01-02,ADV009,Cedar Centre,0
eee4141c-d839-4722-b400-d7da74649fae,2024-01-22,ADV058,Willow Way,0
4cef2769-fc9c-4466-857c-e0fec118b157,2024-01-21,ADV006,Maple Branch,0
69f624c6-5138-4582-ac94-13edc2d98b79,2024-01-19,ADV052,Pine Plaza,0
23330b25-3cd1-4a25-ae88-3ba9cbdbe515,2024-01-29,ADV052,Oak Office,0
f911210c-6043-4d67-adf5-d2216978a2ca,2024-01-09,ADV042,Pine Plaza,0
4e03392d-6101-4ec7-b283-79be7687d631,2024-01-20,ADV060,Oak Office,0
6f0cf013-687d-4495-8f48-6b76c83a3f13,2024-01-12,ADV052,Oak Office,0
2b50fb67-c435-4e73-b1ee-f97579395d21,2024-01-30,ADV010,Maple Branch,0
d33fc489-5c83-43ab-88c4-aac4afa16ca3,2024-01-20,ADV049,Cedar Centre,0
acd8c229-c455-4cb5-91fd-83cfec4ff374,2024-01-03,ADV064,Cedar Centre,0
2fd7ee7a-0f0f-4417-bf95-cfbbfda90b51,2024-01-16,ADV025,Birch Bureau,0
b1953af1-9269-4fd1-94c0-63352dfe973e,2024-01-01,ADV018,Maple Branch,0
0e8c9859-03e7-475f-9196-e8c5e8b109f0,2024-01-16,ADV038,Pine Plaza,0
216bb4bd-55a1-4936-bbc9-afbe400c4fee,2024-01-19,ADV043,Birch Bureau,0
7273f006-5e66-4bb5-b69f-d3a5c30245c1,2024-01-06,ADV034,Cedar Centre,0
da89aef9-23ae-46cf-b695-1698d3250261,2024-01-07,ADV033,Cedar Centre,0
bdc9d1d5-16b9-44a4-9959-d4efb3f6e958,2024-01-05,ADV002,Pine Plaza,0
fd8a15f7-4fad-46e5-91c8-8f4c4c607150,2024-01-13,ADV069,Oak Office,0
2a3e1b4b-673c-4f31-8e3b-9864d65e0cb4,2024-01-15,ADV070,Pine Plaza,0
3763d9c4-3a4a-404a-9e22-fb60aa06fb8d,2024-01-18,ADV046,Cedar Centre,0
2360a7cc-8cf7-4c2a-9ee6-ece12ddfc813,2024-01-15,ADV072,Willow Way,0
2da4048e-3b3d-4232-b7dc-0c0302f75937,2024-01-12,ADV052,Cedar Centre,0
37f75291-1891-40e1-9b6f-3cc4a1f5d14e,2024-01-01,ADV060,Maple Branch,0
4a2fa636-bd45-4f7d-a0ab-72a62badf8b9,2024-01-09,ADV042,Oak Office,0
7768c522-a1e3-4ee0-8b50-640082634e68,2024-01-21,ADV061,Cedar Centre,0
81e1911b-5d9a-4457-9e07-1cedd9671b6f,2024-01-05,ADV038,Oak Office,0
b2b02ea4-2a53-463c-bead-bb5d7eafc5c1,2024-01-20,ADV043,Willow Way,0
ea2ba957-78eb-4c28-8d79-1038af0dff54,2024-01-17,ADV005,Birch Bureau,0
3f608dda-310f-497e-b7f0-259937fb8bbe,2024-01-22,ADV043,Cedar Centre,0
6bdcd285-1ba4-4261-bb21-a12a720b3b34,2024-01-28,ADV054,Cedar Centre,0
eff3176e-a755-4b49-90df-e9f17592bd96,2024-01-05,ADV073,Maple Branch,0
91abd147-b8d4-4138-8001-e3465ad11e82,2024-01-27,ADV031,Cedar Centre,0
9c0f86fd-70b6-4fc5-8188-4097595b322b,2024-01-03,ADV041,Birch Bureau,0
