id	protected_class	xml_blob
2126487628	0	<record><id>2126487628</id><protected_class>0</protected_class></record>
7579383682	0	<record><id>7579383682</id><protected_class>0</protected_class></record>
8497760262	1	<record><id>8497760262</id><protected_class>1</protected_class></record>
4615829230	1	<record><id>4615829230</id><protected_class>1</protected_class></record>
5813163100	1	<record><id>5813163100</id><protected_class>1</protected_class></record>
5264377465	0	<record><id>5264377465</id><protected_class>0</protected_class></record>
4709750600	1	<record><id>4709750600</id><protected_class>1</protected_class></record>
6170054241	0	<record><id>6170054241</id><protected_class>0</protected_class></record>
7850780405	0	<record><id>7850780405</id><protected_class>0</protected_class></record>
5882841929	0	<record><id>5882841929</id><protected_class>0</protected_class></record>
9219312621	1	<record><id>9219312621</id><protected_class>1</protected_class></record>
2822790369	0	<record><id>2822790369</id><protected_class>0</protected_class></record>
4991224878	0	<record><id>4991224878</id><protected_class>0</protected_class></record>
8009739636	1	<record><id>8009739636</id><protected_class>1</protected_class></record>
3193895685	1	<record><id>3193895685</id><protected_class>1</protected_class></record>
1118482559	0	<record><id>1118482559</id><protected_class>0</protected_class></record>
1414016877	0	<record><id>1414016877</id><protected_class>0</protected_class></record>
8667040611	0	<record><id>8667040611</id><protected_class>0</protected_class></record>
1839925711	0	<record><id>1839925711</id><protected_class>0</protected_class></record>
4955481854	0	<record><id>4955481854</id><protected_class>0</protected_class></record>
4878824185	0	<record><id>4878824185</id><protected_class>0</protected_class></record>
7226711444	0	<record><id>7226711444</id><protected_class>0</protected_class></record>
9598737813	0	<record><id>9598737813</id><protected_class>0</protected_class></record>
8976330702	1	<record><id>8976330702</id><protected_class>1</protected_class></record>
8365235183	0	<record><id>8365235183</id><protected_class>0</protected_class></record>
5399055443	0	<record><id>5399055443</id><protected_class>0</protected_class></record>
9075145134	1	<record><id>9075145134</id><protected_class>1</protected_class></record>
4744451897	0	<record><id>4744451897</id><protected_class>0</protected_class></record>
2643570487	0	<record><id>2643570487</id><protected_class>0</protected_class></record>
6401833785	1	<record><id>6401833785</id><protected_class>1</protected_class></record>
9698282379	1	<record><id>9698282379</id><protected_class>1</protected_class></record>
4925410041	0	<record><id>4925410041</id><protected_class>0</protected_class></record>
6286055884	0	<record><id>6286055884</id><protected_class>0</protected_class></record>
4076811614	1	<record><id>4076811614</id><protected_class>1</protected_class></record>
3658229121	1	<record><id>3658229121</id><protected_class>1</protected_class></record>
3924568733	0	<record><id>3924568733</id><protected_class>0</protected_class></record>
1136342019	0	<record><id>1136342019</id><protected_class>0</protected_class></record>
2440519121	0	<record><id>2440519121</id><protected_class>0</protected_class></record>
7311109471	0	<record><id>7311109471</id><protected_class>0</protected_class></record>
5224714759	0	<record><id>5224714759</id><protected_class>0</protected_class></record>
8684505434	0	<record><id>8684505434</id><protected_class>0</protected_class></record>
9590995852	0	<record><id>9590995852</id><protected_class>0</protected_class></record>
9537013513	1	<record><id>9537013513</id><protected_class>1</protected_class></record>
6536899864	0	<record><id>6536899864</id><protected_class>0</protected_class></record>
1680862978	0	<record><id>1680862978</id><protected_class>0</protected_class></record>
5371857609	1	<record><id>5371857609</id><protected_class>1</protected_class></record>
5217658636	0	<record><id>5217658636</id><protected_class>0</protected_class></record>
3822549489	0	<record><id>3822549489</id><protected_class>0</protected_class></record>
2737325396	0	<record><id>2737325396</id><protected_class>0</protected_class></record>
9014199632	0	<record><id>9014199632</id><protected_class>0</protected_class></record>
2487750554	0	<record><id>2487750554</id><protected_class>0</protected_class></record>
8953342907	0	<record><id>8953342907</id><protected_class>0</protected_class></record>
6175034164	0	<record><id>6175034164</id><protected_class>0</protected_class></record>
4131116709	0	<record><id>4131116709</id><protected_class>0</protected_class></record>
9269597878	0	<record><id>9269597878</id><protected_class>0</protected_class></record>
8254168582	1	<record><id>8254168582</id><protected_class>1</protected_class></record>
6498844969	0	<record><id>6498844969</id><protected_class>0</protected_class></record>
3771688549	0	<record><id>3771688549</id><protected_class>0</protected_class></record>
6691026771	0	<record><id>6691026771</id><protected_class>0</protected_class></record>
2538980754	0	<record><id>2538980754</id><protected_class>0</protected_class></record>
4915482209	1	<record><id>4915482209</id><protected_class>1</protected_class></record>
7166738788	0	<record><id>7166738788</id><protected_class>0</protected_class></record>
8624939668	0	<record><id>8624939668</id><protected_class>0</protected_class></record>
8552239768	0	<record><id>8552239768</id><protected_class>0</protected_class></record>
5398369262	1	<record><id>5398369262</id><protected_class>1</protected_class></record>
4154084347	0	<record><id>4154084347</id><protected_class>0</protected_class></record>
6744812289	0	<record><id>6744812289</id><protected_class>0</protected_class></record>
9828868408	0	<record><id>9828868408</id><protected_class>0</protected_class></record>
2736613223	1	<record><id>2736613223</id><protected_class>1</protected_class></record>
2263959578	0	<record><id>2263959578</id><protected_class>0</protected_class></record>
6331085384	0	<record><id>6331085384</id><protected_class>0</protected_class></record>
3965758162	0	<record><id>3965758162</id><protected_class>0</protected_class></record>
5426516550	0	<record><id>5426516550</id><protected_class>0</protected_class></record>
9055919117	0	<record><id>9055919117</id><protected_class>0</protected_class></record>
1873440948	0	<record><id>1873440948</id><protected_class>0</protected_class></record>
5647014930	0	<record><id>5647014930</id><protected_class>0</protected_class></record>
3759960177	1	<record><id>3759960177</id><protected_class>1</protected_class></record>
9688161040	0	<record><id>9688161040</id><protected_class>0</protected_class></record>
9168554762	0	<record><id>9168554762</id><protected_class>0</protected_class></record>
2581299819	0	<record><id>2581299819</id><protected_class>0</protected_class></record>
5509730333	1	<record><id>5509730333</id><protected_class>1</protected_class></record>
1559875140	1	<record><id>1559875140</id><protected_class>1</protected_class></record>
3406097341	0	<record><id>3406097341</id><protected_class>0</protected_class></record>
9949751852	0	<record><id>9949751852</id><protected_class>0</protected_class></record>
2006756559	1	<record><id>2006756559</id><protected_class>1</protected_class></record>
7165479408	0	<record><id>7165479408</id><protected_class>0</protected_class></record>
7719672967	0	<record><id>7719672967</id><protected_class>0</protected_class></record>
8631240043	0	<record><id>8631240043</id><protected_class>0</protected_class></record>
6404005079	0	<record><id>6404005079</id><protected_class>0</protected_class></record>
7208361965	0	<record><id>7208361965</id><protected_class>0</protected_class></record>
3098981031	0	<record><id>3098981031</id><protected_class>0</protected_class></record>
3917528057	0	<record><id>3917528057</id><protected_class>0</protected_class></record>
9906636053	0	<record><id>9906636053</id><protected_class>0</protected_class></record>
3015758607	1	<record><id>3015758607</id><protected_class>1</protected_class></record>
5931518627	1	<record><id>5931518627</id><protected_class>1</protected_class></record>
1044273753	0	<record><id>1044273753</id><protected_class>0</protected_class></record>
7207805637	0	<record><id>7207805637</id><protected_class>0</protected_class></record>
7142374063	0	<record><id>7142374063</id><protected_class>0</protected_class></record>
8013250371	0	<record><id>8013250371</id><protected_class>0</protected_class></record>
7687255133	0	<record><id>7687255133</id><protected_class>0</protected_class></record>
5407654443	0	<record><id>5407654443</id><protected_class>0</protected_class></record>
1281738146	1	<record><id>1281738146</id><protected_class>1</protected_class></record>
6148246035	1	<record><id>6148246035</id><protected_class>1</protected_class></record>
1504091413	0	<record><id>1504091413</id><protected_class>0</protected_class></record>
9636591780	0	<record><id>9636591780</id><protected_class>0</protected_class></record>
9276275751	0	<record><id>9276275751</id><protected_class>0</protected_class></record>
8949963554	0	<record><id>8949963554</id><protected_class>0</protected_class></record>
5746479449	0	<record><id>5746479449</id><protected_class>0</protected_class></record>
2128048667	0	<record><id>2128048667</id><protected_class>0</protected_class></record>
8466213701	0	<record><id>8466213701</id><protected_class>0</protected_class></record>
9620300071	0	<record><id>9620300071</id><protected_class>0</protected_class></record>
5421687355	0	<record><id>5421687355</id><protected_class>0</protected_class></record>
7108209124	0	<record><id>7108209124</id><protected_class>0</protected_class></record>
3245077954	0	<record><id>3245077954</id><protected_class>0</protected_class></record>
9881740740	0	<record><id>9881740740</id><protected_class>0</protected_class></record>
2851497511	0	<record><id>2851497511</id><protected_class>0</protected_class></record>
4688710536	0	<record><id>4688710536</id><protected_class>0</protected_class></record>
5502236440	0	<record><id>5502236440</id><protected_class>0</protected_class></record>
4617347596	0	<record><id>4617347596</id><protected_class>0</protected_class></record>
8696353407	0	<record><id>8696353407</id><protected_class>0</protected_class></record>
6642362330	0	<record><id>6642362330</id><protected_class>0</protected_class></record>
4756256209	0	<record><id>4756256209</id><protected_class>0</protected_class></record>
5773985817	1	<record><id>5773985817</id><protected_class>1</protected_class></record>
6317615458	1	<record><id>6317615458</id><protected_class>1</protected_class></record>
3544717272	0	<record><id>3544717272</id><protected_class>0</protected_class></record>
2476722733	0	<record><id>2476722733</id><protected_class>0</protected_class></record>
5129739584	0	<record><id>5129739584</id><protected_class>0</protected_class></record>
1050350754	0	<record><id>1050350754</id><protected_class>0</protected_class></record>
9021758936	0	<record><id>9021758936</id><protected_class>0</protected_class></record>
5553645237	0	<record><id>5553645237</id><protected_class>0</protected_class></record>
1216931560	0	<record><id>1216931560</id><protected_class>0</protected_class></record>
5608745570	0	<record><id>5608745570</id><protected_class>0</protected_class></record>
7041726710	0	<record><id>7041726710</id><protected_class>0</protected_class></record>
8713836120	0	<record><id>8713836120</id><protected_class>0</protected_class></record>
6447732140	0	<record><id>6447732140</id><protected_class>0</protected_class></record>
7423828892	1	<record><id>7423828892</id><protected_class>1</protected_class></record>
8073949740	0	<record><id>8073949740</id><protected_class>0</protected_class></record>
2134930991	0	<record><id>2134930991</id><protected_class>0</protected_class></record>
7516093967	1	<record><id>7516093967</id><protected_class>1</protected_class></record>
1265804474	0	<record><id>1265804474</id><protected_class>0</protected_class></record>
7043382075	0	<record><id>7043382075</id><protected_class>0</protected_class></record>
7088425659	1	<record><id>7088425659</id><protected_class>1</protected_class></record>
1875136254	0	<record><id>1875136254</id><protected_class>0</protected_class></record>
8477221016	0	<record><id>8477221016</id><protected_class>0</protected_class></record>
7789796627	0	<record><id>7789796627</id><protected_class>0</protected_class></record>
9933100574	0	<record><id>9933100574</id><protected_class>0</protected_class></record>
6258118762	0	<record><id>6258118762</id><protected_class>0</protected_class></record>
9116938288	1	<record><id>9116938288</id><protected_class>1</protected_class></record>
8183607669	0	<record><id>8183607669</id><protected_class>0</protected_class></record>
2061334646	1	<record><id>2061334646</id><protected_class>1</protected_class></record>
9727148802	1	<record><id>9727148802</id><protected_class>1</protected_class></record>
8287528430	1	<record><id>8287528430</id><protected_class>1</protected_class></record>
1970305363	0	<record><id>1970305363</id><protected_class>0</protected_class></record>
8951121833	1	<record><id>8951121833</id><protected_class>1</protected_class></record>
9337206637	0	<record><id>9337206637</id><protected_class>0</protected_class></record>
5850026662	0	<record><id>5850026662</id><protected_class>0</protected_class></record>
4351913100	1	<record><id>4351913100</id><protected_class>1</protected_class></record>
2650601639	0	<record><id>2650601639</id><protected_class>0</protected_class></record>
8529744811	0	<record><id>8529744811</id><protected_class>0</protected_class></record>
8941950479	0	<record><id>8941950479</id><protected_class>0</protected_class></record>
8769136200	0	<record><id>8769136200</id><protected_class>0</protected_class></record>
5197717231	0	<record><id>5197717231</id><protected_class>0</protected_class></record>
7189500862	0	<record><id>7189500862</id><protected_class>0</protected_class></record>
3202228769	0	<record><id>3202228769</id><protected_class>0</protected_class></record>
6237140698	0	<record><id>6237140698</id><protected_class>0</protected_class></record>
1166882372	1	<record><id>1166882372</id><protected_class>1</protected_class></record>
8351950791	1	<record><id>8351950791</id><protected_class>1</protected_class></record>
9384583081	0	<record><id>9384583081</id><protected_class>0</protected_class></record>
3309219436	1	<record><id>3309219436</id><protected_class>1</protected_class></record>
